"","COUNTY","DATE","Population","cdc_multiplier","cdc_case_vacc_obs_imm_up","N","I","R","S"
"8987","Craven",2020-10-11,102491,644,7.78995228849362,102491,644,7340,94507
"8988","Craven",2020-10-15,102491,0,7.78995228849362,102491,0,7984,94507
"8989","Craven",2020-10-18,102491,728,8.50025855928813,102491,728,7984,93779
"8990","Craven",2020-10-22,102491,0,8.50025855928813,102491,0,8712,93779
"8991","Craven",2020-10-25,102491,564,9.05055078006849,102491,564,8712,93215
"8992","Craven",2020-10-29,102491,0,9.05055078006849,102491,0,9276,93215
"8993","Craven",2020-11-01,102491,608,9.64377359963314,102491,608,9276,92607
"8994","Craven",2020-11-05,102491,0,9.64377359963314,102491,0,9884,92607
"8995","Craven",2020-11-08,102491,400,10.0340517703993,102491,400,9884,92207
"8996","Craven",2020-11-12,102491,0,10.0340517703993,102491,0,10284,92207
"8997","Craven",2020-11-15,102491,680,10.6975246607019,102491,680,10284,91527
"8998","Craven",2020-11-19,102491,0,10.6975246607019,102491,0,10964,91527
"8999","Craven",2020-11-22,102491,976,11.6498033973715,102491,976,10964,90551
"9000","Craven",2020-11-26,102491,0,11.6498033973715,102491,0,11940,90551
"9001","Craven",2020-11-29,102491,780,12.4108458303656,102491,780,11940,89771
"9002","Craven",2020-12-03,102491,0,12.4108458303656,102491,0,12720,89771
"9003","Craven",2020-12-06,102491,1788,14.1553892536906,102491,1788,12720,87983
"9004","Craven",2020-12-10,102491,0,14.1553892536906,102491,0,14508,87983
"9005","Craven",2020-12-13,102491,1792,15.9038354587232,102491,1792,14508,86191
"9006","Craven",2020-12-16,102491,0,15.9038354587232,102491,0,16300,86191
"9007","Craven",2020-12-17,102491,0,15.9038354587232,102491,0,16300,86191
"9008","Craven",2020-12-18,102491,0,15.9038354587232,102491,0,16300,86191
"9009","Craven",2020-12-19,102491,0,15.9038354587232,102491,0,16300,86191
"9010","Craven",2020-12-20,102491,2196,18.0464626162297,102491,2196,16300,83995
