"","COUNTY","DATE","Population","death_est_total_inf","death_inf_vacc_obs_imm_up","N","I","R","S"
"20796","Macon",2021-08-16,34813,0,80.1697577062664,34813,0,27909.4977502825,6903.50224971748
"20797","Macon",2021-08-17,34813,0,80.2820171195313,34813,0,27948.5786198224,6864.42138017758
"20798","Macon",2021-08-18,34813,0,80.4007286750283,34813,0,27989.9056736376,6823.09432636238
"20799","Macon",2021-08-19,34813,0,80.5258923727576,34813,0,28033.4789117281,6779.52108827189
"20800","Macon",2021-08-20,34813,0,80.6501467924147,34813,0,28076.7356028433,6736.26439715668
"20801","Macon",2021-08-21,34813,0,80.7742496657149,34813,0,28119.9395361253,6693.06046387468
"20802","Macon",2021-08-22,34813,153.846153846154,81.3400619374945,34813,153.846153846154,28163.0696084538,6496.08423770003
"20803","Macon",2021-08-23,34813,0,81.463634398591,34813,0,28359.9350431815,6453.06495681853
"20804","Macon",2021-08-24,34813,0,81.463634398591,34813,0,28359.9350431815,6453.06495681853
"20805","Macon",2021-08-25,34813,0,81.463634398591,34813,0,28359.9350431815,6453.06495681853
"20806","Macon",2021-08-26,34813,615.384615384615,83.2313206519578,34813,615.384615384615,28359.9350431815,5837.68034143392
"20807","Macon",2021-08-27,34813,0,83.2313206519578,34813,0,28975.3196585661,5837.68034143392
"20808","Macon",2021-08-28,34813,0,83.2313206519578,34813,0,28975.3196585661,5837.68034143392
"20809","Macon",2021-08-29,34813,615.384615384615,84.9990069053247,34813,615.384615384615,28975.3196585661,5222.2957260493
"20810","Macon",2021-08-30,34813,0,84.9990069053247,34813,0,29590.7042739507,5222.2957260493
"20811","Macon",2021-08-31,34813,0,84.9990069053247,34813,0,29590.7042739507,5222.2957260493
"20812","Macon",2021-09-01,34813,0,84.9990069053247,34813,0,29590.7042739507,5222.2957260493
"20813","Macon",2021-09-02,34813,153.846153846154,85.4409284686665,34813,153.846153846154,29590.7042739507,5068.44957220314
"20814","Macon",2021-09-03,34813,0,85.4409284686665,34813,0,29744.5504277969,5068.44957220314
"20815","Macon",2021-09-04,34813,0,85.4409284686665,34813,0,29744.5504277969,5068.44957220314
"20816","Macon",2021-09-05,34813,153.846153846154,85.8828500320082,34813,153.846153846154,29744.5504277969,4914.60341835699
"20817","Macon",2021-09-06,34813,0,85.8828500320082,34813,0,29898.396581643,4914.60341835699
"20818","Macon",2021-09-09,34813,307.692307692308,86.7666931586916,34813,307.692307692308,29898.396581643,4606.91111066469
"20819","Macon",2021-09-12,34813,153.846153846154,87.2086147220333,34813,153.846153846154,30206.0888893353,4453.06495681853
"20820","Macon",2021-09-16,34813,0,87.2086147220333,34813,0,30359.9350431815,4453.06495681853
"20821","Macon",2021-09-19,34813,307.692307692308,88.0924578487168,34813,307.692307692308,30359.9350431815,4145.37264912622
"20822","Macon",2021-09-23,34813,153.846153846154,88.5343794120585,34813,153.846153846154,30667.6273508738,3991.52649528006
