"","COUNTY","DATE","Population","death_est_total_inf","death_inf_vacc_obs_imm_lower","N","I","R","S"
"23263","Moore",2021-03-31,97294,0,30.3204328038901,97294,0,29499.9618922169,67794.0381077832
"23264","Moore",2021-04-01,97294,0,30.7127703414772,97294,0,29881.6827760369,67412.3172239631
"23265","Moore",2021-04-02,97294,0,31.1093513675868,97294,0,30267.5323195799,67026.4676804201
"23266","Moore",2021-04-03,97294,0,31.5101758823081,97294,0,30657.5105229329,66636.4894770671
"23267","Moore",2021-04-04,97294,153.846153846154,31.9152438855519,97294,153.846153846154,30897.7712321627,66242.3826139911
"23268","Moore",2021-04-05,97294,0,32.3245553774147,97294,0,31449.8529089019,65844.1470910981
"23269","Moore",2021-04-06,97294,0,32.7381103577927,97294,0,31852.2170915109,65441.7829084891
"23270","Moore",2021-04-07,97294,0,33.1559088266932,97294,0,32258.7099338429,65035.2900661571
"23271","Moore",2021-04-08,97294,307.692307692308,33.5779507842055,97294,307.692307692308,32361.6391282926,64624.6685640151
"23272","Moore",2021-04-09,97294,0,33.9852865087147,97294,0,33065.6446557889,64228.3553442111
"23273","Moore",2021-04-10,97294,0,34.3779160003051,97294,0,33447.6495933369,63846.3504066631
"23274","Moore",2021-04-11,97294,0,34.7558392588853,97294,0,33815.3462485399,63478.6537514601
"23275","Moore",2021-04-12,97294,0,35.1190562844501,97294,0,34168.7346213929,63125.2653786071
"23276","Moore",2021-04-13,97294,0,35.4675670770961,97294,0,34507.8147119899,62786.1852880101
"23277","Moore",2021-04-14,97294,0,35.8013716367318,97294,0,34832.5865202419,62461.4134797581
"23278","Moore",2021-04-15,97294,0,36.1204699634488,97294,0,35143.0500462379,62150.9499537621
"23279","Moore",2021-04-16,97294,0,36.4348802777888,97294,0,35448.9524174719,61845.0475825281
"23280","Moore",2021-04-17,97294,0,36.7446025796677,97294,0,35750.2936338619,61543.7063661381
"23281","Moore",2021-04-18,97294,153.846153846154,37.0496368691572,97294,153.846153846154,35893.2275416317,61246.9263045221
"23282","Moore",2021-04-19,97294,0,37.3499831462699,97294,0,36339.2926023319,60954.7073976681
"23283","Moore",2021-04-20,97294,0,37.6456414110057,97294,0,36626.9503544239,60667.0496455761
"23284","Moore",2021-04-21,97294,0,37.9366116633645,97294,0,36910.0469517539,60383.9530482461
"23285","Moore",2021-04-22,97294,0,38.2228939033464,97294,0,37188.5823943219,60105.4176056781
"23286","Moore",2021-04-23,97294,0,38.4968892031799,97294,0,37455.1633813418,59838.8366186582
"23287","Moore",2021-04-24,97294,0,38.7585975628526,97294,0,37709.7899128019,59584.2100871981
"23288","Moore",2021-04-25,97294,0,39.0080189823842,97294,0,37952.4619887209,59341.5380112791
"23289","Moore",2021-04-26,97294,0,39.2451534617673,97294,0,38183.1796090919,59110.8203909081
"23290","Moore",2021-04-27,97294,0,39.470001001002,97294,0,38401.9427739149,58892.0572260851
"23291","Moore",2021-04-28,97294,0,39.6825616000882,97294,0,38608.7514831899,58685.2485168101
"23292","Moore",2021-04-29,97294,0,39.8828352590138,97294,0,38803.6057369049,58490.3942630951
"23293","Moore",2021-04-30,97294,0,40.0734724384411,97294,0,38989.0842742569,58304.9157257431
"23294","Moore",2021-05-01,97294,0,40.254473138365,97294,0,39165.1870952408,58128.8129047592
"23295","Moore",2021-05-02,97294,0,40.4258373587907,97294,0,39331.9141998619,57962.0858001381
"23296","Moore",2021-05-03,97294,0,40.5875650997974,97294,0,39489.2655881969,57804.7344118031
"23297","Moore",2021-05-04,97294,0,40.7396563613058,97294,0,39637.2412601689,57656.7587398311
"23298","Moore",2021-05-05,97294,0,40.8821111433109,97294,0,39775.8412157729,57518.1587842271
"23299","Moore",2021-05-06,97294,0,41.014929445902,97294,0,39905.0654550959,57388.9345449041
"23300","Moore",2021-05-07,97294,0,41.1478934543804,97294,0,40034.4314575049,57259.5685424951
"23301","Moore",2021-05-08,97294,0,41.2810031688427,97294,0,40163.9392230939,57130.0607769061
"23302","Moore",2021-05-09,97294,0,41.4142585891996,97294,0,40293.5887517759,57000.4112482241
"23303","Moore",2021-05-10,97294,0,41.547659715528,97294,0,40423.3800436259,56870.6199563741
"23304","Moore",2021-05-11,97294,0,41.6812065477438,97294,0,40553.3130985619,56740.6869014381
